2026-05-19 23:47:21 install libc6-dev:arm64 <none> 2.41-12+deb13u3
2026-05-19 23:47:21 status half-installed libc6-dev:arm64 2.41-12+deb13u3
2026-05-19 23:47:21 status unpacked libc6-dev:arm64 2.41-12+deb13u3
2026-05-19 23:47:21 install libbluetooth-dev:arm64 <none> 5.82-1.1
2026-05-19 23:47:21 status half-installed libbluetooth-dev:arm64 5.82-1.1
2026-05-19 23:47:21 status unpacked libbluetooth-dev:arm64 5.82-1.1
2026-05-19 23:47:21 install libbrotli1:arm64 <none> 1.1.0-2+b7
2026-05-19 23:47:21 status half-installed libbrotli1:arm64 1.1.0-2+b7
2026-05-19 23:47:21 status unpacked libbrotli1:arm64 1.1.0-2+b7
2026-05-19 23:47:21 install libbrotli-dev:arm64 <none> 1.1.0-2+b7
2026-05-19 23:47:21 status half-installed libbrotli-dev:arm64 1.1.0-2+b7
2026-05-19 23:47:21 status unpacked libbrotli-dev:arm64 1.1.0-2+b7
2026-05-19 23:47:21 install libbz2-dev:arm64 <none> 1.0.8-6
2026-05-19 23:47:21 status half-installed libbz2-dev:arm64 1.0.8-6
2026-05-19 23:47:21 status unpacked libbz2-dev:arm64 1.0.8-6
2026-05-19 23:47:21 install libdb5.3-dev:arm64 <none> 5.3.28+dfsg2-9
2026-05-19 23:47:21 status half-installed libdb5.3-dev:arm64 5.3.28+dfsg2-9
2026-05-19 23:47:21 status unpacked libdb5.3-dev:arm64 5.3.28+dfsg2-9
2026-05-19 23:47:21 install libdb-dev:arm64 <none> 5.3.4
2026-05-19 23:47:21 status half-installed libdb-dev:arm64 5.3.4
2026-05-19 23:47:21 status unpacked libdb-dev:arm64 5.3.4
2026-05-19 23:47:21 install libexpat1-dev:arm64 <none> 2.7.1-2
2026-05-19 23:47:21 status half-installed libexpat1-dev:arm64 2.7.1-2
2026-05-19 23:47:21 status unpacked libexpat1-dev:arm64 2.7.1-2
2026-05-19 23:47:21 install libffi-dev:arm64 <none> 3.4.8-2
